listing_nickname,year,month,monthname,week,weekname,weekdate,avail_days,booked_days,occ_rate,ADR,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
C708,2017,8,Aug,33,2017-08-07 00:00:00,2017-08-07T07:00:00Z,1,1,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,33,2017-08-14 00:00:00,2017-08-14T07:00:00Z,6,6,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,34,2017-08-14 00:00:00,2017-08-14T07:00:00Z,1,1,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,34,2017-08-21 00:00:00,2017-08-21T07:00:00Z,6,6,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,35,2017-08-21 00:00:00,2017-08-21T07:00:00Z,1,1,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,35,2017-08-28 00:00:00,2017-08-28T07:00:00Z,4,3,0.75,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,35,2017-08-28 00:00:00,2017-08-28T07:00:00Z,2,2,1,277,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,36,2017-08-28 00:00:00,2017-08-28T07:00:00Z,1,1,1,164.25,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,36,2017-09-04 00:00:00,2017-09-04T07:00:00Z,6,6,1,174.125,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,37,2017-09-04 00:00:00,2017-09-04T07:00:00Z,1,1,1,238.526,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,37,2017-09-11 00:00:00,2017-09-11T07:00:00Z,6,5,0.8333333333333334,232.1208,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,38,2017-09-11 00:00:00,2017-09-11T07:00:00Z,1,1,1,206.5,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,38,2017-09-18 00:00:00,2017-09-18T07:00:00Z,6,6,1,186.88199999999998,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,39,2017-09-18 00:00:00,2017-09-18T07:00:00Z,1,1,1,186.882,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,9,Sep,39,2017-09-25 00:00:00,2017-09-25T07:00:00Z,6,5,0.8333333333333334,185.1292,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,10,Oct,40,2017-09-25 00:00:00,2017-09-25T07:00:00Z,1,1,1,158,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,10,Oct,40,2017-10-02 00:00:00,2017-10-02T07:00:00Z,6,5,0.8333333333333334,158,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,10,Oct,41,2017-10-02 00:00:00,2017-10-02T07:00:00Z,1,1,1,157.4,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,10,Oct,41,2017-10-09 00:00:00,2017-10-09T07:00:00Z,6,6,1,162.15555555555557,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,10,Oct,42,2017-10-09 00:00:00,2017-10-09T07:00:00Z,1,1,1,171.66666666666666,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
