conf,listing_nickname,booked,rev,status,source,year,month,BT,rev_mo,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
HMD2KT4ERQ,EX829,2018-02-27,141.01375,confirmed,Airbnb,2018,2,1,2018-02-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-02-28,141.01375,confirmed,Airbnb,2018,2,1,2018-02-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-03-01,141.01375,confirmed,Airbnb,2018,3,1,2018-03-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-03-02,141.01375,confirmed,Airbnb,2018,3,1,2018-03-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-03-03,141.01375,confirmed,Airbnb,2018,3,1,2018-03-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-03-04,141.01375,confirmed,Airbnb,2018,3,1,2018-03-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMJ22ARWWM,EX829,2018-01-28,116.78800000000001,confirmed,Airbnb,2018,1,1,2018-01-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMJ22ARWWM,EX829,2018-01-29,116.78800000000001,confirmed,Airbnb,2018,1,1,2018-01-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMJ22ARWWM,EX829,2018-01-30,116.78800000000001,confirmed,Airbnb,2018,1,1,2018-01-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMJ22ARWWM,EX829,2018-01-31,116.78800000000001,confirmed,Airbnb,2018,1,1,2018-01-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
