Bldg_Name,listing_nickname,year,rev_mo,days_booked,days_avail,occ_rate,Avg_Rev,Rev_Par
Marina SLU,MS404,2018,2018-10-01,10,31,0.3225806451612903,155.433,50.13967741935483
Marina SLU,MS404,2018,2018-11-01,3,30,0.1,169.5419178082192,16.954191780821922
Marina SLU,MS404,2019,2019-01-01,4,31,0.12903225806451613,158.544,20.457290322580647
Marina SLU,MS404,2019,2019-02-01,9,28,0.32142857142857145,158.5437777777778,50.96050000000001
Marina SLU,MS406,2018,2018-01-01,4,377,0.010610079575596816,115.1875,1.2221485411140582
Marina SLU,MS406,2018,2018-02-01,17,28,0.6071428571428571,120.73258823529413,73.30192857142858
Marina SLU,MS406,2018,2018-03-01,28,31,0.9032258064516129,127.14645171026156,114.84195638346205
Marina SLU,MS406,2018,2018-04-01,25,30,0.8333333333333334,137.8376,114.86466666666668
Marina SLU,MS406,2018,2018-08-01,1,31,0.03225806451612903,287.1,9.261290322580646
Marina SLU,MS406,2018,2018-09-01,21,690,0.030434782608695653,163.43523809523808,4.974115942028985
Marina SLU,MS406,2018,2018-10-01,14,31,0.45161290322580644,186.56928571428574,84.25709677419356
Marina SLU,MS407,2018,2018-01-01,6,377,0.015915119363395226,98.61666666666667,1.5694960212201592
Marina SLU,MS407,2018,2018-02-01,19,28,0.6785714285714286,113.49736842105263,77.01607142857144
Marina SLU,MS407,2018,2018-03-01,27,31,0.8709677419354839,127.28569739952718,110.86173644474948
Marina SLU,MS407,2018,2018-04-01,22,30,0.7333333333333333,140.18363636363637,102.80133333333333
Marina SLU,MS508,2018,2018-02-01,11,28,0.39285714285714285,111.87545454545453,43.951071428571424
Marina SLU,MS508,2018,2018-03-01,22,31,0.7096774193548387,126.27136363636365,89.61193548387098
Marina SLU,MS509,2018,2018-02-01,23,28,0.8214285714285714,100.3619806763285,82.44019841269841
Marina SLU,MS509,2018,2018-03-01,18,31,0.5806451612903226,141.77135802469135,82.31885304659498
Marina SLU,MS510,2018,2018-01-01,2,377,0.005305039787798408,132.94,0.7052519893899204
Marina SLU,MS510,2018,2018-02-01,18,28,0.6428571428571429,100.87166666666667,64.84607142857143
Marina SLU,MS510,2018,2018-03-01,22,31,0.7096774193548387,133.3759090909091,94.65387096774194
Marina SLU,MS510,2018,2018-04-01,18,30,0.6,148.20111111111112,88.92066666666666
Marina SLU,MS510,2018,2018-08-01,1,18,0.05555555555555555,210.1833333333333,11.67685185185185
Marina SLU,MS510,2018,2018-09-01,12,30,0.4,151.49555555555557,60.59822222222223
Marina SLU,MS510,2018,2018-10-01,7,31,0.22580645161290322,223.85285714285715,50.54741935483871
Marina SLU,MS511,2018,2018-01-01,3,377,0.007957559681697613,117.6125,0.9359084880636604
Marina SLU,MS511,2018,2018-02-01,11,28,0.39285714285714285,116.0875,45.605803571428574
Marina SLU,MS511,2018,2018-03-01,30,31,0.967741935483871,98.07227352804823,94.908651801337
Marina SLU,MS511,2018,2018-04-01,20,30,0.6666666666666666,127.96828094575801,85.312187297172
Marina SLU,MS511,2018,2018-08-01,2,18,0.1111111111111111,146.98,16.33111111111111
Marina SLU,MS511,2018,2018-09-01,24,30,0.8,156.34541666666667,125.07633333333334
Marina SLU,MS511,2018,2018-10-01,20,31,0.6451612903225806,163.565,105.5258064516129
Marina SLU,MS512,2018,2018-01-01,15,377,0.03978779840848806,106.88666666666667,4.252785145888594
Marina SLU,MS512,2018,2018-02-01,18,28,0.6428571428571429,131.06152777777777,84.25383928571429
Marina SLU,MS512,2018,2018-03-01,31,31,1,128.3716935483871,128.3716935483871
Marina SLU,MS512,2018,2018-04-01,19,30,0.6333333333333333,142.01526315789474,89.943
Marina SLU,MS512,2018,2018-09-01,4,114,0.03508771929824561,155.195,5.445438596491227
Marina SLU,MS512,2018,2018-10-01,8,31,0.25806451612903225,161.2475,41.612258064516126
Marina SLU,MS512,2018,2018-11-01,3,30,0.1,176.16,17.616
Marina SLU,MS512,2019,2019-02-01,18,28,0.6428571428571429,158.5438888888889,101.92107142857144
Marina SLU,MS513,2018,2018-02-01,5,28,0.17857142857142858,120.804,21.572142857142858
Marina SLU,MS513,2018,2018-09-01,23,30,0.7666666666666667,158.73434782608695,121.69633333333333
Marina SLU,MS513,2018,2018-10-01,7,31,0.22580645161290322,154.82714285714286,34.960967741935484
Marina SLU,MS514,2018,2018-02-01,6,28,0.21428571428571427,115.75333333333333,24.80428571428571
Marina SLU,MS514,2018,2018-08-01,2,18,0.1111111111111111,266.555,29.61722222222222
Marina SLU,MS514,2018,2018-09-01,21,30,0.7,162.48333333333335,113.73833333333333
Marina SLU,MS514,2018,2018-10-01,9,31,0.2903225806451613,177.34444444444443,51.487096774193546
Marina SLU,MS514,2019,2019-02-01,14,28,0.5,158.5442857142857,79.27214285714285
Marina SLU,MS515,2018,2018-01-01,4,377,0.010610079575596816,113.49000000000001,1.2041379310344829
Marina SLU,MS515,2018,2018-02-01,4,28,0.14285714285714285,119.31,17.044285714285714
Marina SLU,MS515,2018,2018-03-01,27,31,0.8709677419354839,118.27948148148147,103.0176129032258
Marina SLU,MS515,2018,2018-04-01,22,30,0.7333333333333333,140.01745454545454,102.67946666666666
Marina SLU,MS515,2018,2018-09-01,11,450,0.024444444444444446,178.39636363636362,4.360799999999999
Marina SLU,MS515,2018,2018-10-01,7,31,0.22580645161290322,147.8857142857143,33.39354838709678
Marina SLU,MS515,2018,2018-11-01,2,30,0.06666666666666667,195.54,13.036
Marina SLU,MS516,2018,2018-01-01,4,377,0.010610079575596816,97,1.0291777188328912
Marina SLU,MS516,2018,2018-02-01,11,28,0.39285714285714285,124.26579647218453,48.81870575692964
Marina SLU,MS516,2018,2018-03-01,30,31,0.967741935483871,123.00657081260366,119.03861691542289
Marina SLU,MS516,2018,2018-04-01,18,30,0.6,135.0048148148148,81.00288888888888
Marina SLU,MS517,2018,2018-02-01,7,28,0.25,122.42571428571429,30.606428571428573
Marina SLU,MS517,2018,2018-03-01,20,31,0.6451612903225806,118.61366666666667,76.52494623655915
Marina SLU,MS517,2018,2018-04-01,21,30,0.7,155.48246031746032,108.83772222222223
Marina SLU,MS517,2018,2018-05-01,7,491,0.014256619144602852,221.48642857142858,3.157647657841141
Marina SLU,MS517,2018,2018-09-01,15,546,0.027472527472527472,205.04866666666663,5.633205128205128
Marina SLU,MS517,2018,2018-10-01,10,31,0.3225806451612903,175.578,56.638064516129035
Marina SLU,MS518,2018,2018-02-01,5,28,0.17857142857142858,108.77075223880597,19.423348614072495
Marina SLU,MS518,2018,2018-03-01,14,31,0.45161290322580644,106.64027078891259,48.160122291766974
Marina SLU,MS518,2018,2018-04-01,15,30,0.5,153.32866666666666,76.66433333333333
Marina SLU,MS518,2018,2018-05-01,7,491,0.014256619144602852,167.93714285714285,2.394215885947047
Marina SLU,MS518,2018,2018-09-01,14,546,0.02564102564102564,153.49285714285716,3.935714285714286
Marina SLU,MS518,2018,2018-10-01,4,31,0.12903225806451613,157.63,20.339354838709678
Marina SLU,MS519,2018,2018-02-01,13,28,0.4642857142857143,104.10516483516484,48.33454081632654
Marina SLU,MS519,2018,2018-03-01,26,31,0.8387096774193549,96.17012597668491,80.65881533528413
Marina SLU,MS519,2018,2018-04-01,27,30,0.9,132.31496296296294,119.08346666666665
Marina SLU,MS519,2018,2018-05-01,7,491,0.014256619144602852,145.9565714285714,2.080847250509165
Marina SLU,MS519,2018,2018-09-01,23,618,0.0372168284789644,158.5140579710145,5.899390507011867
Marina SLU,MS519,2018,2018-10-01,19,31,0.6129032258064516,156.11614035087717,95.68408602150537
Marina SLU,MS520,2018,2018-01-01,1,377,0.002652519893899204,104.61,0.27748010610079576
Marina SLU,MS520,2018,2018-02-01,6,28,0.21428571428571427,122.21833333333332,26.189642857142854
Marina SLU,MS520,2018,2018-03-01,28,31,0.9032258064516129,103.36582534843205,93.36268095987411
Marina SLU,MS520,2018,2018-04-01,23,30,0.7666666666666667,134.30271739130436,102.96541666666668
Marina SLU,MS520,2018,2018-05-01,5,491,0.010183299389002037,140.65,1.4322810590631365
Marina SLU,MS520,2018,2018-09-01,22,618,0.03559870550161812,146.73125000000002,5.223442556634305
Marina SLU,MS520,2018,2018-10-01,23,31,0.7419354838709677,144.37184782608693,107.11459677419353
Marina SLU,MS520,2018,2018-11-01,5,30,0.16666666666666666,155.976,25.996
Marina SLU,MS609,2018,2018-01-01,1,377,0.002652519893899204,192.67,0.5110610079575596
Marina SLU,MS609,2018,2018-02-01,3,28,0.10714285714285714,127.35333333333334,13.645
Marina SLU,MS609,2018,2018-03-01,27,31,0.8709677419354839,119.79115248226951,104.33422958133151
Marina SLU,MS609,2018,2018-04-01,19,30,0.6333333333333333,146.93644736842106,93.05975
Marina SLU,MS609,2018,2018-05-01,5,491,0.010183299389002037,162.94400000000002,1.659307535641548
Marina SLU,MS610,2018,2018-05-01,7,491,0.014256619144602852,164.42428571428573,2.3441344195519354
Marina SLU,MS610,2018,2018-09-01,6,642,0.009345794392523364,142.75166666666667,1.3341277258566977
Marina SLU,MS610,2018,2018-10-01,1,31,0.03225806451612903,143.13,4.6170967741935485
Marina SLU,MS610,2018,2018-11-01,2,30,0.06666666666666667,176.16,11.744
Marina SLU,MS611,2018,2018-03-01,20,31,0.6451612903225806,134.57267744755245,86.82108222422738
Marina SLU,MS611,2018,2018-04-01,16,30,0.5333333333333333,137.50109375,73.33391666666667
Marina SLU,MS611,2018,2018-05-01,6,491,0.012219959266802444,155.755,1.9033197556008146
Marina SLU,MS611,2018,2018-09-01,15,618,0.024271844660194174,162.05133333333333,3.933284789644013
Marina SLU,MS611,2018,2018-10-01,7,31,0.22580645161290322,143.16142857142856,32.32677419354838
Marina SLU,MS611,2018,2018-11-01,2,30,0.06666666666666667,176.16,11.744
Marina SLU,MS612,2018,2018-09-01,16,30,0.5333333333333333,145.342375,77.51593333333334
Marina SLU,MS612,2018,2018-10-01,7,31,0.22580645161290322,151.6802857142857,34.25038709677419
Marina SLU,MS612,2018,2018-11-01,2,30,0.06666666666666667,176.16,11.744
