listing_nickname,launch_date,end_date,building,neighborhood,pdlaunch_date,pdend_date
MS508,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS508,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS509,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS509,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS510,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS510,2018-08-30T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS511,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS511,2018-08-30T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS512,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS512,2018-09-25T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS513,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS513,2018-08-30T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS514,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS514,2018-08-30T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS515,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS515,2018-09-11T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS516,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS516,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS517,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS517,2018-09-07T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS518,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS518,2018-09-07T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS519,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS519,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS520,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS520,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS609,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS609,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS610,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS610,2018-09-03T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS612,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS611,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS611,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS613,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS613,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS614,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS614,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS615,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS615,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS616,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS616,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS617,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS617,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS618,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS618,2018-09-05T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS812,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS812,2018-09-05T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS813,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS813,2018-09-05T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS814,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS814,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS815,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS815,2018-09-04T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS816,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS816,2018-09-03T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS817,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS817,2018-09-05T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS818,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS818,2018-09-05T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS913,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS913,2018-09-03T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS914,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS914,2018-09-05T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
